                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.96938,                0.95462,                 1.1641,                0.77829,                0.76426,                0.80971,                0.63396,                0.54301,                 0.6793,                0.74058,              0.0024265,              0.0024265,              0.0024265
                    155,                0.95363,                0.95581,                 1.1522,                0.77889,                0.76228,                0.81065,                0.63126,                0.54257,                0.68002,                0.74077,               0.002377,               0.002377,               0.002377
                    156,                0.95356,                0.91563,                 1.1534,                0.75194,                0.75904,                0.81098,                0.63233,                0.54039,                0.66728,                0.74127,              0.0023275,              0.0023275,              0.0023275
                    157,                0.94661,                0.92442,                 1.1502,                0.76458,                0.77279,                0.81322,                0.63422,                0.53987,                0.68134,                0.74179,               0.002278,               0.002278,               0.002278
                    158,                0.95144,                0.92094,                 1.1504,                0.76782,                0.76139,                0.81239,                0.63354,                0.53998,                0.67665,                0.74294,              0.0022285,              0.0022285,              0.0022285
                    159,                0.93941,                0.90344,                 1.1451,                0.76429,                0.76524,                0.81196,                0.63464,                0.53781,                0.67316,                0.74226,               0.002179,               0.002179,               0.002179
                    160,                0.93842,                0.92628,                 1.1467,                0.76034,                0.77056,                 0.8122,                0.63634,                0.53755,                0.65283,                0.74369,              0.0021295,              0.0021295,              0.0021295
                    161,                0.93782,                0.91979,                 1.1507,                0.77169,                0.75368,                0.81224,                0.63642,                0.53754,                0.64354,                0.74328,                0.00208,                0.00208,                0.00208
                    162,                 0.9316,                0.91543,                 1.1433,                0.76924,                 0.7579,                0.81032,                0.63709,                0.53802,                0.65732,                0.74369,              0.0020305,              0.0020305,              0.0020305
                    163,                0.92015,                 0.8764,                 1.1399,                0.77978,                0.73888,                0.80803,                0.63376,                0.53952,                0.67942,                 0.7439,               0.001981,               0.001981,               0.001981
                    164,                0.92038,                0.87703,                 1.1318,                0.78048,                0.73683,                0.80737,                0.63271,                0.54155,                0.64558,                0.74412,              0.0019315,              0.0019315,              0.0019315
                    165,                0.91262,                0.82784,                 1.1311,                0.78177,                 0.7383,                0.80791,                0.63447,                0.54396,                 0.6137,                0.74369,               0.001882,               0.001882,               0.001882
                    166,                0.88816,                0.83188,                 1.1196,                0.78633,                0.73525,                0.80693,                0.63166,                0.54552,                0.61694,                0.74484,              0.0018325,              0.0018325,              0.0018325
                    167,                0.89634,                0.80456,                  1.117,                0.78145,                0.74099,                0.80538,                0.63053,                0.54902,                0.64589,                0.74586,               0.001783,               0.001783,               0.001783
                    168,                0.89144,                0.83908,                 1.1149,                0.78518,                0.73951,                0.80543,                0.63281,                 0.5535,                0.63114,                0.74666,              0.0017335,              0.0017335,              0.0017335
                    169,                0.88953,                0.82756,                 1.1136,                0.79259,                0.74033,                0.80483,                0.63421,                0.55386,                0.60333,                0.74641,               0.001684,               0.001684,               0.001684
                    170,                0.87658,                0.81178,                 1.1134,                0.78908,                0.74935,                0.80476,                0.63338,                0.55281,                0.56716,                0.74596,              0.0016345,              0.0016345,              0.0016345
                    171,                0.87247,                0.78292,                 1.1081,                0.78134,                0.73859,                0.80594,                0.63339,                 0.5522,                 0.5521,                 0.7456,               0.001585,               0.001585,               0.001585
                    172,                0.86885,                0.78538,                  1.105,                 0.7865,                0.72623,                0.80259,                0.63149,                 0.5546,                0.55918,                0.74653,              0.0015355,              0.0015355,              0.0015355
                    173,                0.85995,                 0.7689,                 1.0977,                0.78439,                0.72108,                0.80102,                0.63242,                0.55438,                0.56224,                0.74646,               0.001486,               0.001486,               0.001486
                    174,                0.85452,                0.76662,                  1.099,                0.79512,                0.71381,                0.80207,                0.63281,                0.55534,                0.54611,                0.74689,              0.0014365,              0.0014365,              0.0014365
                    175,                0.83305,                0.73612,                 1.0839,                0.81624,                 0.6961,                0.79977,                0.63052,                0.55839,                0.53375,                0.74819,               0.001387,               0.001387,               0.001387
                    176,                0.82098,                 0.7408,                 1.0754,                0.80017,                0.70854,                0.79999,                0.62928,                0.55915,                0.52583,                0.74903,              0.0013375,              0.0013375,              0.0013375
                    177,                0.82724,                0.70202,                 1.0809,                0.81091,                0.71054,                0.80005,                0.63126,                0.56011,                0.52066,                0.74986,               0.001288,               0.001288,               0.001288
                    178,                0.81642,                 0.7022,                 1.0781,                0.80312,                 0.7119,                0.79828,                0.62826,                0.56019,                0.51415,                0.74965,              0.0012385,              0.0012385,              0.0012385
                    179,                0.81451,                0.69286,                 1.0756,                0.78236,                0.72301,                0.79657,                0.62547,                0.56207,                0.49437,                0.75107,               0.001189,               0.001189,               0.001189
                    180,                0.80308,                0.70323,                 1.0718,                0.79949,                0.72356,                0.79654,                 0.6236,                0.56225,                 0.4788,                0.75209,              0.0011395,              0.0011395,              0.0011395
                    181,                0.78363,                0.69249,                 1.0562,                0.80336,                0.71514,                0.79306,                0.62166,                0.56216,                 0.4689,                0.75332,                0.00109,                0.00109,                0.00109
                    182,                0.78743,                0.64598,                  1.068,                0.80442,                0.71797,                0.79467,                0.62175,                0.56227,                0.47075,                0.75456,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.7658,                0.64981,                 1.0519,                0.81892,                0.70324,                0.79319,                0.62183,                0.56417,                0.47045,                 0.7571,               0.000991,               0.000991,               0.000991
                    184,                0.76162,                0.65635,                 1.0479,                0.81907,                0.70687,                0.78884,                0.61751,                0.56425,                0.47511,                0.75873,              0.0009415,              0.0009415,              0.0009415
                    185,                0.76139,                0.61637,                 1.0531,                0.80881,                0.70987,                0.79043,                0.62025,                0.56233,                0.48103,                0.75953,               0.000892,               0.000892,               0.000892
                    186,                0.74837,                0.63149,                  1.043,                0.80769,                0.71072,                0.78759,                0.61921,                 0.5605,                0.48577,                0.75948,              0.0008425,              0.0008425,              0.0008425
                    187,                0.73527,                0.61527,                 1.0368,                0.81062,                0.71736,                0.78787,                0.62238,                0.56103,                0.48649,                0.76054,               0.000793,               0.000793,               0.000793
                    188,                0.73121,                0.61282,                 1.0351,                0.80668,                0.71284,                0.78743,                0.62349,                0.56029,                0.48792,                0.76138,              0.0007435,              0.0007435,              0.0007435
                    189,                0.71479,                0.58437,                  1.024,                0.79764,                0.72263,                0.78946,                0.62496,                0.55886,                0.48675,                0.76074,               0.000694,               0.000694,               0.000694
                    190,                0.71187,                0.56028,                 1.0296,                0.79364,                0.71441,                0.78614,                 0.6242,                0.56064,                0.49471,                0.76217,              0.0006445,              0.0006445,              0.0006445
                    191,                0.69114,                0.55775,                  1.019,                0.81223,                0.69995,                0.78653,                0.62476,                0.56125,                0.50008,                0.76231,               0.000595,               0.000595,               0.000595
                    192,                 0.6885,                0.56973,                 1.0162,                 0.8059,                 0.7038,                0.78385,                0.62411,                 0.5605,                0.50977,                0.76311,              0.0005455,              0.0005455,              0.0005455
                    193,                0.67083,                0.54663,                 1.0077,                0.79544,                 0.6933,                0.78151,                0.62309,                0.56067,                0.51976,                0.76374,               0.000496,               0.000496,               0.000496
                    194,                0.67144,                0.53394,                 1.0052,                0.79969,                0.69083,                0.77912,                0.62077,                 0.5603,                0.52769,                0.76509,              0.0004465,              0.0004465,              0.0004465
                    195,                0.65298,                0.49566,                0.99459,                0.80052,                0.69081,                0.77559,                0.61963,                0.56008,                0.53224,                0.76713,               0.000397,               0.000397,               0.000397
                    196,                0.64635,                0.50641,                 0.9996,                0.79501,                0.70034,                0.77692,                0.62031,                0.56034,                0.53972,                0.76897,              0.0003475,              0.0003475,              0.0003475
                    197,                 0.6338,                0.49079,                0.98729,                0.79738,                0.68866,                0.77507,                0.61883,                0.56122,                0.54948,                0.77132,               0.000298,               0.000298,               0.000298
                    198,                0.62172,                0.49061,                0.98091,                0.78953,                0.69177,                0.77029,                0.61589,                 0.5627,                0.56158,                0.77303,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.6111,                0.46609,                0.98604,                0.78685,                0.69161,                0.76589,                0.61217,                0.56341,                0.56808,                0.77508,               0.000199,               0.000199,               0.000199
