                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2161,                 1.4144,                  1.323,                 0.7672,                0.73208,                 0.7949,                0.60669,                0.56703,                 1.0637,                0.74876,               0.008317,               0.008317,               0.008317
                     36,                 1.2161,                 1.4239,                 1.3275,                0.78147,                0.72898,                 0.7941,                0.60482,                0.57093,                 1.0805,                0.74967,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2167,                 1.4353,                 1.3377,                0.79287,                0.71853,                0.79194,                0.60315,                 0.5687,                  1.143,                0.74984,               0.008218,               0.008218,               0.008218
                     38,                 1.2053,                 1.4198,                 1.3126,                0.78843,                0.72076,                0.79258,                0.60365,                0.56776,                  1.206,                0.74976,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2137,                 1.3965,                 1.3148,                0.73887,                0.75773,                0.79762,                0.60812,                0.56648,                 1.2661,                 0.7491,               0.008119,               0.008119,               0.008119
                     40,                 1.2093,                  1.393,                 1.3216,                0.75214,                0.74639,                0.79362,                0.60694,                0.56343,                 1.3238,                0.74805,              0.0080695,              0.0080695,              0.0080695
                     41,                    1.2,                 1.4259,                 1.3122,                0.80751,                0.71013,                0.79149,                 0.6075,                0.56099,                 1.3857,                0.74713,                0.00802,                0.00802,                0.00802
                     42,                 1.1977,                 1.4033,                 1.3152,                0.74137,                0.73711,                0.79037,                0.60722,                0.56268,                  1.357,                0.74698,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2051,                  1.409,                 1.3182,                0.76559,                0.71648,                0.78982,                0.60669,                0.55949,                 1.4086,                0.74687,               0.007921,               0.007921,               0.007921
                     44,                 1.2179,                 1.4238,                 1.3244,                 0.8006,                0.70404,                0.79244,                0.60961,                0.55846,                 1.4252,                0.74727,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1917,                 1.4182,                 1.3032,                0.80291,                0.71102,                0.79553,                0.61489,                0.55763,                 1.4094,                0.74699,               0.007822,               0.007822,               0.007822
                     46,                 1.2092,                 1.3866,                 1.3201,                0.81662,                0.70911,                0.79562,                0.61473,                 0.5586,                 1.3926,                 0.7468,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1983,                 1.3653,                 1.3225,                0.83026,                0.70577,                0.80061,                0.61787,                0.55766,                 1.3773,                0.74682,               0.007723,               0.007723,               0.007723
                     48,                 1.2096,                 1.3999,                 1.3176,                 0.8359,                0.70257,                0.80043,                0.61631,                0.55543,                 1.3078,                  0.747,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1853,                 1.3847,                 1.3046,                0.83126,                0.70653,                0.80103,                0.61231,                0.55187,                  1.304,                0.74701,               0.007624,               0.007624,               0.007624
                     50,                 1.1935,                 1.3514,                  1.313,                0.80236,                0.71558,                0.80233,                0.61547,                0.55317,                 1.2817,                0.74782,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2031,                 1.3848,                 1.3101,                0.82781,                0.70819,                0.80703,                0.61768,                0.55446,                 1.2617,                0.74768,               0.007525,               0.007525,               0.007525
                     52,                 1.2013,                 1.3835,                 1.3116,                0.81426,                 0.7245,                0.80764,                0.62104,                0.55739,                 1.2579,                0.74777,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1946,                  1.355,                 1.3092,                 0.8082,                0.72999,                0.81025,                0.61955,                0.55783,                 1.2759,                0.74679,               0.007426,               0.007426,               0.007426
                     54,                 1.1931,                 1.3715,                  1.309,                0.79586,                0.72123,                0.81135,                0.62014,                0.55586,                 1.2597,                0.74702,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1743,                 1.3857,                 1.2983,                0.79212,                0.72106,                0.81043,                0.62066,                0.55827,                 1.2327,                0.74773,               0.007327,               0.007327,               0.007327
                     56,                 1.1855,                 1.3802,                 1.3048,                0.71771,                0.76063,                0.81196,                   0.62,                0.55856,                  1.223,                0.74793,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1851,                 1.3529,                 1.3034,                0.73514,                 0.7618,                0.81325,                0.62214,                0.55866,                 1.2578,                0.74764,               0.007228,               0.007228,               0.007228
                     58,                 1.1874,                  1.345,                 1.2991,                0.78174,                0.75094,                0.81353,                0.62315,                0.55912,                 1.2937,                0.74719,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1867,                  1.374,                 1.3037,                 0.7934,                0.75488,                0.81296,                0.62188,                0.56274,                  1.333,                0.74726,               0.007129,               0.007129,               0.007129
                     60,                 1.1882,                 1.3441,                 1.2984,                0.78488,                0.74931,                0.81429,                 0.6244,                0.56341,                 1.3564,                0.74774,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1766,                 1.3345,                 1.2977,                0.79282,                0.75377,                0.81361,                0.62292,                0.56089,                 1.3809,                0.74729,                0.00703,                0.00703,                0.00703
                     62,                 1.1744,                  1.324,                 1.2994,                0.79865,                0.74888,                0.81476,                0.62268,                0.56101,                  1.377,                0.74739,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1769,                 1.3444,                 1.2976,                 0.7928,                0.75529,                0.81481,                0.61961,                0.55883,                 1.3399,                0.74689,               0.006931,               0.006931,               0.006931
                     64,                 1.1594,                 1.3327,                 1.2932,                 0.8036,                0.76022,                0.81595,                0.62611,                0.55881,                 1.2933,                0.74648,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.171,                 1.3598,                 1.2984,                0.79564,                0.76517,                0.81204,                0.62277,                 0.5544,                 1.3092,                0.74565,               0.006832,               0.006832,               0.006832
                     66,                 1.1661,                 1.3171,                 1.2885,                0.79284,                0.76369,                0.81214,                0.62133,                0.54796,                 1.2967,                 0.7452,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1789,                 1.3628,                 1.3049,                0.81502,                  0.748,                 0.8135,                0.62402,                0.54536,                 1.2904,                0.74524,               0.006733,               0.006733,               0.006733
                     68,                  1.162,                 1.3301,                 1.2945,                 0.8063,                0.73855,                0.81551,                0.62746,                0.54935,                 1.3321,                0.74649,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1802,                 1.3419,                 1.2975,                0.80777,                0.74726,                0.81904,                0.62436,                0.55069,                 1.3571,                0.74678,               0.006634,               0.006634,               0.006634
                     70,                 1.1839,                  1.337,                 1.2994,                0.81023,                0.74467,                0.81676,                0.62219,                0.55211,                 1.3564,                0.74762,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1784,                 1.3149,                  1.305,                 0.8052,                0.74072,                0.81512,                 0.6238,                0.54993,                 1.3754,                0.74659,               0.006535,               0.006535,               0.006535
                     72,                 1.1645,                 1.3096,                 1.2956,                0.77868,                0.76649,                0.81161,                0.62555,                0.55049,                 1.3297,                0.74611,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1581,                 1.3003,                  1.288,                0.76969,                0.76032,                0.81016,                0.62363,                0.55192,                 1.3034,                0.74543,               0.006436,               0.006436,               0.006436
