No,  Name,  Dataset,  Pretrained,  Epochs,  Batch,  P,  R,  mAP50,  mAP50:95,  Anns,  threshold,  iou,  Score
51,  v2.0.0,  v1.0.0,  v1.2.0,  104,  64,  0.788,  0.783,  0.831,  0.637,  3569,  0.25,  0.5,  0.675398404
52,  v2.0.0,  v1.0.0,  v1.2.0,  115,  64,  0.748,  0.806,  0.821,  0.631,  3674,  0.25,  0.5,  0.675554176
53,  v2.0.0,  v1.0.0,  v1.2.0,  117,  64,  0.819,  0.735,  0.821,  0.632,  ,  0.25,  0.5,  
54,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
56,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
57,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
58,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
59,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
60,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
61,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
62,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
63,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
